bp,bm,cp,cm
882,647,1137,999
883,649,1148,1009
882,651,1159,1018
882,654,1169,1027
883,656,1180,1037
882,657,1191,1046
882,659,1201,1055
883,661,1211,1063
883,663,1221,1073
882,665,1232,1082
882,667,1243,1092
883,669,1254,1101
882,671,1265,1110
882,673,1275,1120
883,675,1286,1129
883,677,1296,1138
882,679,1308,1149
882,681,1318,1157
882,683,1328,1167
882,685,1340,1176
882,687,1350,1185
882,689,1360,1194
883,691,1372,1204
883,693,1382,1214
882,695,1393,1223
883,697,1402,1231
882,698,1413,1241
882,700,1424,1250
882,702,1434,1259
882,704,1444,1268
882,706,1454,1277
882,708,1464,1286
883,710,1474,1295
883,712,1485,1305
883,714,1497,1315
883,716,1507,1324
883,717,1517,1333
882,719,1529,1343
883,721,1540,1352
882,723,1551,1362
882,725,1561,1371
882,727,1572,1381
883,728,1583,1390
882,730,1594,1400
882,732,1604,1409
883,734,1614,1418
883,736,1625,1427
883,737,1635,1437
883,739,1646,1446
883,741,1657,1456
882,742,1667,1465
883,743,1677,1475
882,745,1687,1484
883,746,1697,1493
883,747,1709,1503
883,749,1718,1512
882,750,1729,1522
882,751,1739,1531
882,752,1749,1541
882,752,1761,1552
882,753,1770,1561
882,754,1780,1570
882,754,1790,1580
883,755,1801,1590
883,755,1811,1600
882,755,1821,1610
882,755,1833,1622
882,756,1843,1632
883,755,1855,1644
883,755,1865,1654
883,756,1875,1664
882,756,1885,1673
883,755,1896,1685
882,756,1907,1695
883,756,1919,1707
883,756,1929,1717
883,756,1939,1728
883,756,1950,1738
883,756,1960,1749
883,756,1970,1759
882,756,1981,1769
882,756,1991,1779
883,756,2001,1789
882,756,2011,1799
883,756,2022,1811
883,756,2032,1821
882,756,2043,1831
882,756,2053,1842
882,756,2064,1852
883,756,2074,1862
883,756,2084,1873
882,756,2095,1883
882,756,2105,1893
882,756,2115,1904
882,756,2126,1914
882,756,2137,1925
883,756,2147,1935
882,756,2157,1945
882,756,2167,1956
882,757,2178,1966
882,756,2187,1976
882,756,2198,1986
882,756,2209,1998
882,756,2219,2007
882,756,2230,2018
